"gene1","gene2","cor","p.adj","log10padj"
"FBgn0034824","FBgn0037147",0.998249022039213,1.34032939725143e-08,-7.87278845698693
"FBgn0032721","FBgn0037206",0.990328424194167,2.2453091813215e-06,-5.648723847758
"FBgn0035124","FBgn0037385",0.99000845380245,2.47501567158251e-06,-5.60642204680707
"FBgn0035782","FBgn0037385",0.992282616821849,1.14243917700663e-06,-5.94216691230279
"FBgn0036497","FBgn0037385",0.992510981808058,1.04417221783287e-06,-5.98122786619368
"FBgn0032971","FBgn0037455",0.993115409175145,8.11576100435618e-07,-6.09067075069951
"FBgn0034082","FBgn0037456",0.99270155320523,9.66609480564125e-07,-6.01474894958976
"FBgn0035004","FBgn0037461",0.994257835155202,4.71297083139651e-07,-6.32670524808309
"FBgn0033438","FBgn0037478",-0.991974194848841,1.2846593850671e-06,-5.89121200602514
"FBgn0037461","FBgn0037483",0.991411361787185,1.57366115427149e-06,-5.80308877558072
"FBgn0032588","FBgn0037486",0.9913846529426,1.58835620146593e-06,-5.79905209700724
"FBgn0033819","FBgn0037486",0.992080656635859,1.23431058243686e-06,-5.90857554754183
"FBgn0034560","FBgn0037486",0.992163388022868,1.19610411632322e-06,-5.922231015016
"FBgn0032369","FBgn0037502",0.991199898103358,1.6925141645409e-06,-5.77146768804535
"FBgn0032590","FBgn0037506",0.991923873175261,1.30892605416028e-06,-5.88308488758007
"FBgn0033285","FBgn0037506",0.991011993727958,1.80300908175791e-06,-5.7440020857305
"FBgn0034105","FBgn0037506",0.992983269797517,8.59124366169125e-07,-6.06594396348952
"FBgn0037463","FBgn0037506",0.99320948938562,7.78812409164048e-07,-6.10856713728999
"FBgn0037530","FBgn0037592",0.990507030373877,2.12348441115832e-06,-5.67295092288746
"FBgn0034546","FBgn0037616",0.990952190413341,1.83915625927417e-06,-5.73538137045874
"FBgn0036160","FBgn0037616",0.993789392581711,5.96097246669902e-07,-6.22468288414071
"FBgn0036609","FBgn0037664",0.99406217937589,5.21056893409846e-07,-6.28311485415736
"FBgn0036505","FBgn0037707",0.995759802740014,1.89983570474241e-07,-6.72128395463081
"FBgn0037297","FBgn0037707",0.990090465327206,2.41471812440938e-06,-5.61713355814573
"FBgn0034824","FBgn0037828",0.99523421876234,2.69642725236632e-07,-6.56921129216501
"FBgn0037147","FBgn0037828",0.993917861589033,5.59919658174823e-07,-6.25187428462686
"FBgn0034082","FBgn0037829",0.991366975260436,1.59813238661134e-06,-5.79638724730405
"FBgn0037456","FBgn0037829",0.991436602226361,1.55985739680094e-06,-5.80691510332073
"FBgn0033819","FBgn0037860",0.995254805344716,2.66167614736921e-07,-6.57484478731612
"FBgn0034464","FBgn0037860",0.993163868951268,7.94587647163957e-07,-6.09985819086665
"FBgn0034560","FBgn0037860",0.995697143659544,1.98521689175266e-07,-6.70219203814741
"FBgn0036311","FBgn0037860",0.992940617792057,8.74858596797854e-07,-6.05806213622688
"FBgn0036329","FBgn0037860",0.996257551152727,1.30673593729218e-07,-6.88381216495454
"FBgn0037101","FBgn0037860",0.990715663530524,1.98684321136665e-06,-5.70183640320972
"FBgn0034467","FBgn0037862",0.993397786601793,7.15905525880838e-07,-6.14514428536776
"FBgn0035776","FBgn0037862",0.993732507311698,6.12601169250414e-07,-6.21282217860598
"FBgn0033705","FBgn0037915",0.990862642502334,1.8941783268739e-06,-5.72257913687888
"FBgn0033279","FBgn0037939",0.991621867440359,1.46099506991594e-06,-5.83535124957694
